epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,414.286,4.05905,4.28935,4.10914,5e-05,0.00155,3e-05,0,4.60788,4.71402,4.17657,0.00048,0.00048,0.00048
2,871.019,2.89594,2.79893,2.87505,0.00027,0.00466,0.00013,2e-05,4.7962,4.41703,4.31179,0.00088298,0.00088298,0.00088298
3,1256.25,2.16502,1.95926,1.91987,0.00027,0.00466,0.00013,2e-05,5.26725,4.80566,4.67297,0.00118696,0.00118696,0.00118696
4,1598.35,1.83695,1.68535,1.59182,0.00622,0.07919,0.00336,0.00175,3.62934,3.86347,3.63664,0.00139194,0.00139194,0.00139194
5,1951.69,1.59637,1.54636,1.40456,1,0.08692,0.33786,0.12706,2.49266,2.25652,2.11282,0.001208,0.001208,0.001208
6,2369.42,1.46176,1.42198,1.30833,0.75958,0.59938,0.60145,0.3366,1.52878,1.30223,1.32722,0.00101,0.00101,0.00101
7,2824.84,1.29548,1.30933,1.23196,0.79111,0.72826,0.71612,0.45465,1.11606,0.9808,1.12126,0.000812,0.000812,0.000812
8,3259.11,1.22348,1.25694,1.19157,0.7987,0.64691,0.70787,0.4631,1.06545,0.94688,1.08381,0.000614,0.000614,0.000614
9,3709.72,1.13831,1.20162,1.15597,0.79975,0.65737,0.72363,0.46657,1.05834,0.89405,1.06866,0.000416,0.000416,0.000416
10,4117.75,1.07612,1.16738,1.12394,0.77215,0.64907,0.73549,0.48494,0.96196,0.86136,1.03484,0.000218,0.000218,0.000218
1,380.094,4.37753,4.0031,4.08823,5e-05,0.00155,2e-05,0,4.60585,4.71488,4.16937,0.00048,0.00048,0.00048
2,768.653,2.88248,2.44224,2.82574,0.00014,0.00466,7e-05,1e-05,4.76196,4.4171,4.26924,0.00093149,0.00093149,0.00093149
3,1190.56,2.15558,1.7143,1.85672,0.00037,0.00466,0.00019,2e-05,4.59544,4.42204,4.17628,0.00133348,0.00133348,0.00133348
4,1576.07,1.78404,1.44808,1.53637,0.00701,0.20031,0.00764,0.00378,2.47208,3.55211,3.07592,0.00168597,0.00168597,0.00168597
5,1973.09,1.62975,1.35337,1.39349,0.59253,0.26242,0.3994,0.16798,1.97869,1.75013,1.87808,0.001604,0.001604,0.001604
6,2346.01,1.49241,1.34791,1.30913,0.77814,0.66149,0.69601,0.46013,1.15274,0.97497,1.15622,0.001505,0.001505,0.001505
7,2721.25,1.37279,1.26422,1.22211,0.80495,0.73758,0.7205,0.46408,0.99712,0.87729,1.06407,0.001406,0.001406,0.001406
8,3105.3,1.26049,1.18463,1.16695,0.81502,0.70186,0.78513,0.55368,0.91886,0.77919,1.00482,0.001307,0.001307,0.001307
9,3478.46,1.19085,1.1215,1.12931,0.81654,0.69802,0.77893,0.53702,0.86517,0.75788,0.9803,0.001208,0.001208,0.001208
10,3871.91,1.12885,1.11964,1.1093,0.81694,0.7692,0.8206,0.58204,0.87815,0.6861,0.96893,0.001109,0.001109,0.001109
11,4241.37,1.05629,1.13503,1.08096,0.81874,0.75049,0.81521,0.58055,0.84492,0.64984,0.93735,0.00101,0.00101,0.00101
12,5047.74,0.98915,1.09072,1.05102,0.84527,0.70409,0.79955,0.60543,0.79716,0.72824,0.93185,0.000911,0.000911,0.000911
13,5806.91,0.94626,1.06621,1.03725,0.82328,0.7234,0.81061,0.59134,0.74009,0.73354,0.91487,0.000812,0.000812,0.000812
14,6168.99,0.90685,1.04621,1.02579,0.82714,0.70586,0.7786,0.56894,0.7963,0.71325,0.93726,0.000713,0.000713,0.000713
15,6534.36,0.89505,1.03686,1.01624,0.6564,0.7764,0.7549,0.56156,0.80064,0.7395,0.93828,0.000614,0.000614,0.000614
16,6894.44,0.86624,1.02354,1.00725,0.87338,0.65333,0.77761,0.58228,0.71863,0.84605,0.90067,0.000515,0.000515,0.000515
17,7260,0.85857,1.01503,1.00135,0.84141,0.69204,0.79643,0.58951,0.73997,0.68469,0.90866,0.000416,0.000416,0.000416
18,7757.1,0.81998,0.99221,0.98944,0.82314,0.73715,0.81501,0.60831,0.70848,0.62357,0.89556,0.000317,0.000317,0.000317
19,8308.73,0.80457,0.99166,0.98587,0.83372,0.70848,0.78153,0.59325,0.67705,0.65839,0.89505,0.000218,0.000218,0.000218
20,8666.35,0.78531,0.96945,0.97438,0.83055,0.72302,0.78445,0.58959,0.67275,0.63782,0.88363,0.000119,0.000119,0.000119
